abc,Census,Estimates Base,2010.00,2011.00,2012.00,2013.00,2014.00,2015.00,2016.00,2017.00,2018.00,2019.00
United States,308745538.00,308758105.00,309321666.00,311556874.00,313830990.00,315993715.00,318301008.00,320635163.00,322941311.00,324985539.00,326687501.00,328239523.00
".Autauga County, Alabama",54571.00,54597.00,54773.00,55227.00,54954.00,54727.00,54893.00,54864.00,55243.00,55390.00,55533.00,55869.00
".Baldwin County, Alabama",182265.00,182265.00,183112.00,186558.00,190145.00,194885.00,199183.00,202939.00,207601.00,212521.00,217855.00,223234.00
".Barbour County, Alabama",27457.00,27455.00,27327.00,27341.00,27169.00,26937.00,26755.00,26283.00,25806.00,25157.00,24872.00,24686.00
".Bibb County, Alabama",22915.00,22915.00,22870.00,22745.00,22667.00,22521.00,22553.00,22566.00,22586.00,22550.00,22367.00,22394.00
".Blount County, Alabama",57322.00,57322.00,57376.00,57560.00,57580.00,57619.00,57526.00,57526.00,57494.00,57787.00,57771.00,57826.00
".Bullock County, Alabama",10914.00,10911.00,10876.00,10675.00,10606.00,10549.00,10663.00,10400.00,10389.00,10176.00,10174.00,10101.00
".Butler County, Alabama",20947.00,20940.00,20932.00,20866.00,20670.00,20356.00,20327.00,20162.00,20012.00,19888.00,19631.00,19448.00
".Calhoun County, Alabama",118572.00,118526.00,118408.00,117744.00,117190.00,116471.00,115917.00,115469.00,114973.00,114710.00,114331.00,113605.00
".Chambers County, Alabama",34215.00,34169.00,34122.00,34033.00,34104.00,34139.00,33977.00,33996.00,33745.00,33707.00,33600.00,33254.00
".Cherokee County, Alabama",25989.00,25979.00,25963.00,25989.00,25958.00,26017.00,25895.00,25732.00,25768.00,25805.00,26014.00,26196.00
".Chilton County, Alabama",43643.00,43632.00,43653.00,43689.00,43582.00,43628.00,43760.00,43700.00,43866.00,44120.00,44163.00,44428.00
".Choctaw County, Alabama",13859.00,13858.00,13849.00,13609.00,13563.00,13397.00,13317.00,13231.00,13045.00,12925.00,12833.00,12589.00
".Clarke County, Alabama",25833.00,25833.00,25766.00,25587.00,25155.00,25123.00,24864.00,24698.00,24340.00,24063.00,23918.00,23622.00
".Clay County, Alabama",13932.00,13930.00,13898.00,13687.00,13434.00,13404.00,13441.00,13415.00,13393.00,13350.00,13294.00,13235.00
".Cleburne County, Alabama",14972.00,14972.00,15004.00,14928.00,14889.00,14976.00,15026.00,14914.00,14848.00,14899.00,15010.00,14910.00
".Coffee County, Alabama",49948.00,49955.00,50208.00,50444.00,51141.00,50681.00,50657.00,50963.00,51202.00,51853.00,51950.00,52342.00
".Colbert County, Alabama",54428.00,54428.00,54524.00,54539.00,54570.00,54529.00,54462.00,54417.00,54497.00,54695.00,55004.00,55241.00
".Conecuh County, Alabama",13228.00,13236.00,13236.00,13195.00,13046.00,12912.00,12677.00,12678.00,12500.00,12431.00,12292.00,12067.00
".Coosa County, Alabama",11539.00,11756.00,11780.00,11486.00,11346.00,11254.00,11037.00,10934.00,10819.00,10724.00,10643.00,10663.00
".Covington County, Alabama",37765.00,37762.00,37809.00,38020.00,37805.00,37814.00,37760.00,37556.00,37382.00,37062.00,36953.00,37049.00
".Crenshaw County, Alabama",13906.00,13893.00,13869.00,13894.00,13915.00,13847.00,13851.00,13850.00,13916.00,13858.00,13825.00,13772.00
".Cullman County, Alabama",80406.00,80406.00,80456.00,80410.00,80279.00,80690.00,81068.00,81761.00,82450.00,82867.00,83418.00,83768.00
".Dale County, Alabama",50251.00,50251.00,50394.00,50122.00,50289.00,49771.00,49414.00,49365.00,49362.00,49342.00,49143.00,49172.00
".Dallas County, Alabama",43820.00,43813.00,43854.00,43251.00,42789.00,41976.00,41554.00,40936.00,40080.00,39238.00,38294.00,37196.00
".DeKalb County, Alabama",71109.00,71120.00,71163.00,71365.00,70944.00,70912.00,70993.00,71087.00,71104.00,71437.00,71407.00,71513.00
".Elmore County, Alabama",79303.00,79272.00,79552.00,79993.00,80193.00,80536.00,80538.00,80872.00,81204.00,81422.00,81011.00,81209.00
".Escambia County, Alabama",38319.00,38320.00,38345.00,38204.00,38023.00,37765.00,37735.00,37661.00,37475.00,36993.00,36524.00,36633.00
